ID ÁREA DE CONOCIMIENTO;ÁREA DE CONOCIMIENTO;ID NÚCLEO;NÚCLEO BÁSICO DEL CONOCIMIENTO (NBC)
6;ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES;69;ADMINISTRACIÓN
1;AGRONOMÍA, VETERINARIA Y AFINES;11;AGRONOMÍA
5;CIENCIAS SOCIALES Y HUMANAS;553;ANTROPOLOGÍA Y  ARTES LIBERALES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;818;ARQUITECTURA
2;BELLAS ARTES;24;ARTES PLÁSTICAS, VISUALES Y AFINES
2;BELLAS ARTES;25;ARTES REPRESENTATIVAS
4;CIENCIAS DE LA SALUD;440;BACTERIOLOGÍA
5;CIENCIAS SOCIALES Y HUMANAS;555;BIBLIOTECOLOGÍA, OTROS DE CIENCIAS SOCIALES Y HUMANAS
9;MATEMÁTICAS Y CIENCIAS NATURALES;934;BIOLOGÍA, MICROBIOLOGÍA Y AFINES
5;CIENCIAS SOCIALES Y HUMANAS;556;CIENCIA POLÍTICA, RELACIONES INTERNACIONALES
5;CIENCIAS SOCIALES Y HUMANAS;557;COMUNICACIÓN SOCIAL, PERIODISMO Y AFINES
6;ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES;612;CONTADURÍA PÚBLICA
5;CIENCIAS SOCIALES Y HUMANAS;558;DEPORTES, EDUCACIÓN FÍSICA Y RECREACIÓN
5;CIENCIAS SOCIALES Y HUMANAS;559;DERECHO Y AFINES
2;BELLAS ARTES;27;DISEÑO
6;ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES;611;ECONOMÍA
3;CIENCIAS DE LA EDUCACIÓN;313;EDUCACIÓN
4;CIENCIAS DE LA SALUD;441;ENFERMERÍA
5;CIENCIAS SOCIALES Y HUMANAS;568;FILOSOFÍA, TEOLOGÍA Y AFINES
9;MATEMÁTICAS Y CIENCIAS NATURALES;935;FÍSICA
5;CIENCIAS SOCIALES Y HUMANAS;561;FORMACIÓN RELACIONADA CON EL CAMPO MILITAR O POLICIAL
5;CIENCIAS SOCIALES Y HUMANAS;562;GEOGRAFÍA, HISTORIA
9;MATEMÁTICAS Y CIENCIAS NATURALES;936;GEOLOGÍA, OTROS PROGRAMAS DE CIENCIAS NATURALES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;821;INGENIERÍA ADMINISTRATIVA Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;822;INGENIERÍA AGRÍCOLA, FORESTAL Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;823;INGENIERÍA AGROINDUSTRIAL, ALIMENTOS Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;824;INGENIERÍA AGRONÓMICA, PECUARIA Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;820;INGENIERÍA AMBIENTAL, SANITARIA Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;819;INGENIERÍA BIOMÉDICA Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;825;INGENIERÍA CIVIL Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;826;INGENIERÍA DE MINAS, METALURGIA Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;827;INGENIERÍA DE SISTEMAS, TELEMÁTICA Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;828;INGENIERÍA ELÉCTRICA Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERÍA ELECTRÓNICA, TELECOMUNICACIONES Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERÍA INDUSTRIAL Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;831;INGENIERÍA MECÁNICA Y AFINES
8;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;832;INGENIERÍA QUÍMICA Y AFINES
4;CIENCIAS DE LA SALUD;444;INSTRUMENTACIÓN QUIRÚRGICA
5;CIENCIAS SOCIALES Y HUMANAS;564;LENGUAS MODERNAS, LITERATURA, LINGUÍSTICA Y AFINES
9;MATEMÁTICAS Y CIENCIAS NATURALES;937;MATEMÁTICAS, ESTADÍSTICA Y AFINES
4;CIENCIAS DE LA SALUD;445;MEDICINA
